Column1;PORT_NAME;VID;coords
2475;POHANG;PID692;((129.4530776557019, 36.03606769815087),)
2476;Unknown;PID693;((129.45708657839103, 36.078595044091344),)
2478;TAKORADI;PID694;((-1.7230705108788829, 4.8999083787202835),)
2479;ALBANY;PID695;((117.98723544209832, -35.052980007603765),)
2482;YURA;PID696;((135.08791979292135, 33.95106454845518),)
2483;Port of Weipa;PID697;((141.70613983927745, -12.70133868791163),)
2487;CASTRIES;PID698;((-61.01328245268729, 14.020433952100575),)
2488;Unknown;PID699;((174.65213408528916, -38.174365502782166),)
2489;Ports of Bremen;PID700;((8.551791724011215, 53.1807813325),)
2493;Clydeport Authority;PID701;((-4.451438056227003, 55.9121639975),)
2494;Port of Barry;PID702;((-3.257955115832405, 51.374300904),)
2495;Baie des Ha! Ha!;PID703;((-70.789229229, 48.353765503999995),)
2496;Port Alberni;PID704;((-125.00483690724197, 48.956327908000006),)
2500;Hadera Port;PID705;((34.85814027534518, 32.4756233205),)
2506;Harbour Limit;PID706;((8.514560226923981, 53.204558025500006),)
2508;PORTSMOUTH HARBOUR;PID707;((-1.0999724527948629, 50.694132805500004),)
2509;TYNEMOUTH;PID708;((-1.396746015094064, 55.001816726),)
2512;PORT TALBOT;PID709;((-3.8298324184164945, 51.571966674500004),)
2518;Unknown;PID710;((126.47379233280967, 36.344860447),)
2523;DA NANG;PID711;((108.17991905376934, 16.106156896999998),)
2524;Shannon Foynes Port Company;PID712;((-9.811221166715303, 52.499272171),)
2527;BURNIE;PID713;((145.93119205844755, -41.0374300035),)
2531;Maritime Port Sabetta (Section 1);PID714;((72.46540242558791, 71.325434935),)
2533;TANANGER;PID715;((5.5874822867705305, 58.926895),)
2534;etajima;PID716;((132.485798648374, 34.199515),)
2535;riverhead;PID717;((-72.62787403315727, 40.993215),)
2536;etame offshore terminal;PID718;((10.52030731699065, -3.759645),)
2537;madang;PID719;((145.80330954973786, -5.212289999999999),)
2539;madura offshore;PID720;((112.945835, -6.844445),)
2544;magadan;PID721;((150.58782936132036, 59.525965),)
2548;magome;PID722;((129.63426191092583, 33.04894),)
2549;faeringehavn;PID723;((-51.51094272058823, 63.684055),)
2550;roseau;PID724;((-61.393870048030735, 15.310469999999999),)
2552;rospo mare terminal;PID725;((14.933335, 42.2),)
2554;rostock;PID726;((12.106293399404963, 54.141125),)
2558;famagusta;PID727;((33.94435121212121, 35.130375),)
2559;MAILIAO;PID728;((120.14464367580554, 23.778865),)
2560;EUROPOORT;PID729;((4.077870782066508, 51.93522),)
2561;fangcheng;PID730;((108.3533376946645, 21.569209999999998),)
2563;maji shan;PID731;((122.42520987046511, 30.68092),)
2564;rovigo terminal;PID732;((12.549973393131005, 45.06937),)
2565;farwah offshore terminal;PID733;((12.03247497885835, 33.84983),)
2566;majunga;PID734;((46.30514360278167, -15.729130000000001),)
2568;FATEH OIL TERMINAL;PID735;((54.397168672207705, 25.44336),)
2569;UJUNG PANDANG;PID736;((119.39137131607191, -5.12183),)
2571;fawley;PID737;((-1.3510399538043445, 50.840334999999996),)
2575;malabo;PID738;((8.776715214352283, 3.76185),)
2578;MALAGA;PID739;((-4.420131428877463, 36.708395),)
2585;MALMO;PID740;((12.992400213445173, 55.623625000000004),)
2586;CHERRY POINT;PID741;((-122.71542696864111, 48.8319),)
2587;malong offshore terminal;PID742;((104.828325, 4.546609999999999),)
2588;ruwais port;PID743;((52.7204674796949, 24.144385),)
2589;FERROL;PID744;((-8.212403109265928, 43.481854999999996),)
2590;MALONGO OIL TERMINAL;PID745;((12.0721275, -5.4376),)
2592;firenze offshore terminal;PID746;((18.182029999999997, 40.806129999999996),)
2594;manaus;PID747;((-59.95859581065503, -3.1305300000000003),)
2595;SOKHNA PORT GAS TANKER TERMINAL;PID748;((32.40963518385055, 29.656740627),)
2596;SAFI;PID749;((-9.258935180867645, 32.290555),)
2599;OGUENDJO TERMINAL;PID750;((8.727051769521042, -1.17219),)
2600;fiumicino;PID751;((12.173345458651848, 41.75847),)
2601;mangalia;PID752;((28.570512395820078, 43.801355),)
2602;SAGUNTO;PID753;((-0.2175655151094663, 39.64322),)
2603;floro;PID754;((5.066812444520313, 61.60756),)
2605;CAT LAI;PID755;((106.75700399098258, 10.700244999999999),)
2606;flotta;PID756;((-3.117618716690041, 58.852940000000004),)
2609;fluminense fpso offshore;PID757;((-40.425, -22.636665),)
2610;ABERDEEN;PID758;((-2.0405051463414656, 57.153375),)
2611;FORCADOS OIL TERMINAL;PID759;((5.1768350000000005, 5.17446),)
2614;PORT BOUET;PID760;((-4.029618653353435, 5.27979),)
2616;aboadi offshore terminal;PID761;((-1.6233556232418325, 4.9440349999999995),)
2618;saipan;PID762;((145.72991405635986, 15.24824),)
2619;PORTO DE MUCURIPE;PID763;((-38.47876248818898, -3.70934),)
2620;MANTA;PID764;((-80.69801022097626, -0.931845),)
2621;saizaki;PID765;((133.04329307513916, 34.334365000000005),)
2622;abo offshore terminal;PID766;((4.444227640013178, 5.738035),)
2623;FORT DE FRANCE;PID767;((-61.14607461803192, 14.650605),)
2624;manzanillo;PID768;((-104.2964673137806, 19.04005),)
2625;FOS;PID769;((4.89108309428962, 43.40762),)
2626;maojia;PID770;((121.67467202552808, 32.091955),)
2629;SAKAI KO;PID771;((133.28848726678592, 35.487305),)
2630;maputo;PID772;((32.571100798693614, -25.980385),)
2632;frade offshore;PID773;((-39.858335, -21.883335),)
2633;SAKATA KO;PID774;((139.79704174270472, 38.941955),)
2635;ACAJUTLA;PID775;((-89.83524467789599, 13.575685),)
2637;saladin marine terminal;PID776;((115.02483831718422, -21.42406),)
2639;acapulco;PID777;((-99.8715825597071, 16.83755),)
2640;salaverry;PID778;((-79.0039445983501, -8.214735000000001),)
2641;MARIN;PID779;((-8.698029421128805, 42.4034),)
2643;fredericia;PID780;((9.748885497835495, 55.55625),)
2644;MARIUPOL;PID781;((37.55093318349233, 47.061815),)
2646;LA CORUNA;PID782;((-8.386502691360787, 43.365375),)
2647;BOTAS NATURAL GAS TERMINAL;PID783;((27.980639501697254, 40.97987),)
2648;SALINA CRUZ;PID784;((-95.20490819948186, 16.16185),)
2649;acu;PID785;((-40.97531568024888, -21.809784999999998),)
2650;fredrikstad;PID786;((10.961775980509149, 59.188265),)
2652;BESHAYER OIL TERMINAL;PID787;((37.29863266514482, 19.5722750245),)
2653;adang bay;PID788;((116.57135573397855, -1.71533),)
2654;freeport;PID789;((-78.76244240962146, 26.515230000000003),)
2656;AL BURAYQAH;PID790;((19.580747504002847, 30.440865000000002),)
2657;FREEPORT;PID791;((-95.36129045293796, 28.979705),)
2659;freetown;PID792;((-13.195114995709382, 8.486405),)
2661;marseille;PID793;((5.339177316137766, 43.32425),)
2662;agadir;PID794;((-9.634025366268496, 30.424895),)
2663;fsts boca grande ii;PID795;((-61.58265852626211, 9.946365),)
2666;agbami offshore terminal;PID796;((5.55802540033017, 3.478625),)
2667;fujairah;PID797;((56.4641925, 25.21154),)
2669;MASAN;PID798;((128.58434629646902, 35.184870000000004),)
2672;samarinda muara berau offshore;PID799;((117.62688918299635, -0.27966),)
2673;agio theodoroi;PID800;((23.074756805194816, 37.91937),)
2674;FUKUYAMA;PID801;((133.44905746376813, 34.448),)
2675;MATADI;PID802;((13.424014107162384, -5.834595),)
2678;FUNABASHI;PID803;((139.9673908273707, 35.656635),)
2679;matanzas;PID804;((-81.54709700258769, 23.061165000000003),)
2680;PULAU SAMBU;PID805;((103.89979162259445, 1.160545),)
2682;BAHIA DE MATARANI;PID806;((-72.10956351544621, -16.99952),)
2683;samcheok;PID807;((129.17140968780973, 37.470119999999994),)
2685;matsushima;PID808;((129.6034159926695, 32.946039999999996),)
2686;SAMSUN;PID809;((36.398841810211444, 41.282645),)
2688;fuqing;PID810;((119.31645259833354, 25.402425),)
2689;matsuura;PID811;((129.7044397273854, 33.372305),)
2690;MATSUYAMA;PID812;((132.67711422461986, 33.807995),)
2691;san antonio;PID813;((-64.90679754770605, -40.76247),)
2692;san carlos;PID814;((-112.11642416049798, 24.783635),)
2693;fuzhou;PID815;((119.60745490346845, 26.096565),)
2695;maui marine terminal;PID816;((173.28833500000002, -39.608335),)
2696;san ciprian;PID817;((-7.46093988, 43.707840000000004),)
2698;gaeta;PID818;((13.606572305910767, 41.235335),)
2700;sandakan;PID819;((118.07954369291338, 5.797725),)
2705;mazatlan;PID820;((-106.40414525528169, 23.197825),)
2706;point galeota;PID821;((-61.02900369434348, 10.122245),)
2708;akita;PID822;((140.00510989928864, 39.755205000000004),)
2709;GALVESTON;PID823;((-94.81770372651602, 29.32268),)
2714;akpo offshore terminal;PID824;((6.83972, 3.13032),)
2716;GAMBA OIL TERMINAL;PID825;((9.987137019578972, -2.83469),)
2717;sangi;PID826;((123.62255288072328, 10.383099999999999),)
2719;gangavaram;PID827;((83.20751560064934, 17.624195),)
2720;san jose;PID828;((-90.84665483846558, 13.907824999999999),)
2721;SAN JUAN;PID829;((-66.12222931519071, 18.432795),)
2722;albany;PID830;((-73.75637134510374, 42.614095000000006),)
2723;PORT NADOR;PID831;((-2.92353014118976, 35.274395),)
2724;san lorenzo;PID832;((-87.4250781955117, 13.39805),)
2728;PUERTO SAN MARTIN;PID833;((-60.74519191410867, -32.70897),)
2729;NOWY PORT;PID834;((18.70539705942623, 54.380135),)
2732;GDYNIA;PID835;((18.54885144521912, 54.532995),)
2735;mersin;PID836;((34.65860065068493, 36.807019999999994),)
2736;BAHIA SAN NICOLAS;PID837;((-75.24267274440783, -15.226885),)
2737;AL ISKANDARIYH (ALEXANDRIA);PID838;((29.82854857983228, 31.1545),)
2739;SINT NICOLAAS BAAI;PID839;((-69.90769325727238, 12.43009),)
2741;san nicolas;PID840;((-60.149576565300904, -33.36729),)
2742;ALGECIRAS;PID841;((-5.419185107992607, 36.137625),)
2743;san pedro;PID842;((-59.6360802016129, -33.689065),)
2745;ALGER;PID843;((3.0808273860354785, 36.769315),)
2746;SAN PEDRO DE MACORIS;PID844;((-69.26003730942837, 18.440665000000003),)
2747;gela;PID845;((14.250901929354338, 37.026845),)
2749;ALIAGA;PID846;((26.927189755065555, 38.84472),)
2750;SANTA CRUZ DE TENERIFE;PID847;((-16.231557755793887, 28.472745),)
2752;ALICANTE;PID848;((-0.5007681315651271, 38.323865),)
2754;GEMLIK;PID849;((29.091187262455062, 40.418835),)
2755;MIAMI;PID850;((-80.15852379342984, 25.78318),)
2756;al khoms;PID851;((14.251532708524287, 32.676005),)
2757;general san martin;PID852;((-76.28731673682852, -13.803685),)
2758;SANTA MARTA;PID853;((-74.21708039383563, 11.24747),)
2759;miang besar;PID854;((117.9634304172291, 0.718835),)
2760;ALMERIA;PID855;((-2.4691663394584125, 36.82509),)
2761;santana;PID856;((-51.161330587845455, -0.060475),)
2762;michilla cove;PID857;((-70.30564635059761, -22.71884),)
2764;santander;PID858;((-3.81331667164179, 43.433975000000004),)
2766;TANJUNG SANTAN;PID859;((117.51587642863053, -0.10514),)
2767;GEORGETOWN;PID860;((-81.3963405148248, 19.30116),)
2769;MILAZZO;PID861;((15.291621443264763, 38.220704999999995),)
2770;santiago de cuba;PID862;((-75.86787227297444, 19.994965),)
2772;geraldton;PID863;((114.59468665909091, -28.777315),)
2773;SANTO DOMINGO;PID864;((-69.88240346070064, 18.48042),)
2774;AL SHAHEEN TERMINAL;PID865;((52.21544031261665, 26.381974999999997),)
2775;MILWAUKEE;PID866;((-87.89429944970607, 43.0148),)
2776;gebig;PID867;((-44.23968331148177, -23.06098),)
2777;SANTOS;PID868;((-46.3608930148943, -23.95038),)
2778;ALTAMIRA;PID869;((-97.85278753452519, 22.458705000000002),)
2779;santo-pekoa;PID870;((167.18870136657557, -15.516885),)
2780;GHAZAOUET;PID871;((-1.8657759654291883, 35.101685),)
2782;MINA AL AHMADI;PID872;((48.26900121287963, 29.10832),)
2783;SANTO THOMAS DE CASTILLA;PID873;((-88.61931609503546, 15.720220000000001),)
2785;alumar;PID874;((-44.36093146666666, -2.67163),)
2786;MINA AL FAHL;PID875;((58.52837304472297, 23.660035),)
2787;EUROPA POINT;PID876;((-5.366346088388214, 36.09433),)
2789;alvheim offshore terminal;PID877;((1.99845, 59.567515),)
2791;gijon;PID878;((-5.686433355270713, 43.563135),)
2794;sao francisco do sul;PID879;((-48.531688099621036, -26.200035),)
2795;gimboa offshore terminal;PID880;((12.167151088560885, -7.54085),)
2797;amamapare;PID881;((136.80014077007297, -4.846435),)
2798;GIRASSOL TERMINAL;PID882;((11.732702104345188, -7.6488),)
2800;LUTONG;PID883;((113.85704828263607, 4.52988),)
2802;AMBON;PID884;((128.17500148715416, -3.682195),)
2803;MISHIMA-KAWANOE KO;PID885;((133.5173114874477, 34.01261),)
2807;amchit;PID886;((35.62690140772929, 34.140015000000005),)
2809;sarpom offshore terminal;PID887;((8.460460000000001, 44.278864999999996),)
2810;amherstberg;PID888;((-83.11323556716339, 42.09679),)
2811;MISRATAH;PID889;((15.234225360905187, 32.34461),)
2814;SAULT STE MARIE;PID890;((-84.37628495982278, 46.51214),)
2815;IJMUIDEN;PID891;((4.3176131154282045, 52.468835),)
2816;CAYO MOA GRANDE;PID892;((-74.87244372970517, 20.65515),)
2817;SAVANNAH;PID893;((-81.09326315918855, 32.090875),)
2819;AMUAY (BAHIA DE AMUAY);PID894;((-70.21266334814307, 11.75239),)
2821;goliat offshore terminal;PID895;((22.274549999999998, 71.28285),)
2822;SAVONA;PID896;((8.498495178082196, 44.315470000000005),)
2823;anacortes;PID897;((-122.5811258431271, 48.498495),)
2824;mobile;PID898;((-88.01094548686827, 30.509735),)
2831;anchorage (usa);PID899;((-149.89216972628898, 61.23928),)
2832;moerdijk;PID900;((4.577898962522852, 51.68515),)
2835;ANCONA;PID901;((13.42528312704626, 43.693560000000005),)
2836;MOHAMMEDIA;PID902;((-7.410241252441216, 33.705205),)
2837;SEA EAGLE TERMINAL;PID903;((5.326750677107592, 4.8063649999999996),)
2838;mo i rana;PID904;((14.108132718792593, 66.3187),)
2839;annaba;PID905;((7.779947522231697, 36.888065),)
2841;SEARSPORT;PID906;((-68.9083295486111, 44.44928),)
2844;seattle;PID907;((-122.35639389094376, 47.580055),)
2847;sebuku offshore;PID908;((116.38406009174312, -3.6909099999999997),)
2849;ANTALYA;PID909;((30.606104893796005, 36.81356),)
2850;MONFALCONE;PID910;((13.572483180994553, 45.767525),)
2851;ANTAN OIL TERMINAL;PID911;((8.33263729575056, 4.22286),)
2853;mongla;PID912;((89.58734567389757, 22.48359),)
2854;selaata;PID913;((35.65270995975531, 34.278825),)
2857;MONGSTAD;PID914;((5.0312346214788715, 60.811275),)
2858;SEMARANG;PID915;((110.41881312286135, -6.91927),)
2859;HOQUIAM;PID916;((-123.89122269193972, 46.95295),)
2860;monrovia;PID917;((-10.811521395511921, 6.356365),)
2861;greater pluotino offshore terminal;PID918;((12.11113452542373, -7.84638),)
2864;MONTEGO BAY;PID919;((-77.96060830806954, 18.463160000000002),)
2866;HANSWEERT;PID920;((3.787823282608696, 51.33401),)
2867;MONTEVIDEO;PID921;((-56.25373969337149, -34.913),)
2868;GREEN BAY;PID922;((-87.976751233791, 44.548815),)
2869;anyer;PID923;((105.93577096680818, -6.025795),)
2870;sendai;PID924;((141.0356181838611, 38.269729999999996),)
2874;GRENAA HAVN;PID925;((10.928406285998015, 56.415765),)
2875;MOREHEAD CITY;PID926;((-76.70018369181284, 34.709795),)
2876;SURABAYA;PID927;((112.66275311523194, -7.130825),)
2878;apar bay;PID928;((116.66613559437526, -1.951235),)
2880;itaguai;PID929;((-43.86173058689658, -22.97554),)
2883;apia;PID930;((-171.7688468759303, -13.824205),)
2886;KUALA BELAIT;PID931;((114.28119345427473, 4.74888),)
2887;motril;PID932;((-3.5271417256547153, 36.716319999999996),)
2888;apra;PID933;((144.65329092306612, 13.43943),)
2889;GUAIBA ISLAND TERMINAL;PID934;((-44.02854892430663, -23.010135),)
2890;SERPENTINA TERMINAL;PID935;((8.110345881298992, 3.77827),)
2891;MOUDI MARINE TERMINAL;PID936;((8.458127507591886, 4.130495),)
2892;AL AQABAH;PID937;((34.962864875283444, 29.44979),)
2893;GUAMARE OIL TERMINAL;PID938;((-36.26833499999999, -4.863334999999999),)
2894;SETE;PID939;((3.719362906425963, 43.40327),)
2895;MIKINDANI;PID940;((40.16454332695916, -10.243535),)
2897;PORTOCEL;PID941;((-40.06842407214049, -19.838815),)
2898;muanda offshore terminal;PID942;((12.1285825, -5.982055),)
2901;muara;PID943;((115.1063227374147, 4.98142),)
2903;guaranao;PID944;((-70.21721723663208, 11.670179999999998),)
2906;guayabal;PID945;((-77.6118722823528, 20.661735),)
2907;seville;PID946;((-5.996280129218727, 37.35316),)
2908;muara banyu asin offshore;PID947;((104.93447491424803, -2.182665),)
2911;muara pantai offshore;PID948;((118.15375484829977, 2.002535),)
2912;RADA DE ARICA;PID949;((-70.32805501711468, -18.462045),)
2913;guayama;PID950;((-66.15303134868358, 17.94426),)
2914;sfax;PID951;((10.77695851091842, 34.715845),)
2915;muara satui offshore;PID952;((115.50549687811171, -3.992535),)
2917;guayanilla;PID953;((-66.75701122159367, 17.981364999999997),)
2918;sha lun offshore;PID954;((121.25480843003774, 25.07679),)
2920;PUERTO MARITIMO DE GUAYAQUIL;PID955;((-79.91421040979158, -2.264535),)
2921;arrecife;PID956;((-13.533033123836127, 28.967565),)
2922;guaymas;PID957;((-110.87482812626263, 27.9124),)
2923;ARZEW;PID958;((-0.23964465280567648, 35.84111),)
2924;GULFHAVEN;PID959;((11.25525662816392, 55.18628),)
2925;muldwarka;PID960;((70.65951777529048, 20.743715),)
2926;BANDAR-E PARS TERMINAL;PID961;((52.55970457627457, 27.506445),)
2927;gullfaks offshore terminal;PID962;((2.1910876424680286, 61.18782),)
2928;shantou;PID963;((116.78800768211809, 23.31477),)
2930;aseng offshore terminal;PID964;((9.139425, 3.37557),)
2931;shen ao;PID965;((121.82905013157895, 25.129645),)
2932;GUSTAVIA;PID966;((-62.8523519036128, 17.89707),)
2933;asgard a offshore terminal;PID967;((6.7311, 65.07532),)
2939;SHIBUSHI WAN;PID968;((131.0994435340264, 31.44572),)
2940;HACHINOHE KO;PID969;((141.52701874545454, 40.57428),)
2941;MYKOLAYIV;PID970;((32.00665059259259, 46.905730000000005),)
2945;shidao;PID971;((122.47369069822486, 36.892235),)
2948;hadong power station;PID972;((127.82307784298465, 34.948665),)
2949;SHIMIZU KO;PID973;((138.52227305497445, 35.017755),)
2951;naantali;PID974;((22.083439263546797, 60.450595),)
2953;ASPROPIRGOS;PID975;((23.578879754601232, 38.0176),)
2954;NACALA;PID976;((40.66694436069947, -14.460465),)
2957;haifa;PID977;((35.02379958537304, 32.82671),)
2959;TONGUE POINT;PID978;((-123.79878162218735, 46.202484999999996),)
2961;asya port;PID979;((27.47489960103755, 40.897945),)
2964;hakata;PID980;((130.3229684751462, 33.633875),)
2966;atsumi;PID981;((137.06615678855985, 34.653715000000005),)
2967;HAKODATE KO;PID982;((140.6722061331431, 41.78201),)
2968;namikata;PID983;((132.90408182142858, 34.126425),)
2969;HALDIA PORT;PID984;((88.10959250648139, 22.04179),)
2970;AL KUWAYT;PID985;((47.92157175986842, 29.355215),)
2971;AUGUSTA;PID986;((15.213643172112018, 37.17904),)
2973;NANAO KO;PID987;((137.00155048501665, 37.085955),)
2979;halmstad;PID988;((12.841774970588236, 56.65363),)
2981;aveiro;PID989;((-8.717397312493866, 40.655770000000004),)
2982;SIDI KERIR (KURAYR);PID990;((29.60939644985511, 31.105784999999997),)
2983;JAZIRAT HALUL;PID991;((52.45996835421266, 25.66104),)
2984;aviles;PID992;((-5.918971217474734, 43.573325),)
2986;zahrani terminal;PID993;((35.35398732637029, 33.53467),)
2989;azurite offshore terminal;PID994;((10.990449908752211, -5.635795),)
2993;hamilton;PID995;((-79.83513001709986, 43.282925),)
2994;bagfas;PID996;((27.910319787234044, 40.382425),)
2995;napier;PID997;((176.93020458937286, -39.476820000000004),)
2996;hamina;PID998;((27.171542564102566, 60.533725000000004),)
2997;PUERTO GALVAN;PID999;((-61.626219327442946, -39.333175),)
2998;naples;PID1000;((14.280067577619658, 40.827955),)
2999;HAMMERFEST;PID1001;((23.651798475371947, 70.647845),)
3000;BAHIA DE LAS MINAS;PID1002;((-79.82101621969697, 9.392585),)
3001;NARVIK;PID1003;((17.41097446129709, 68.42602),)
3002;AL HAMRIYAH LPG TERMINAL;PID1004;((55.48058741258741, 25.46912),)
3003;NASSAU;PID1005;((-77.31330306256305, 25.078525),)
3005;SHARJAH OFFSHORE TERMINAL;PID1006;((55.40551001736865, 25.575544999999998),)
3006;natal;PID1007;((-35.209350942646864, -5.766220000000001),)
3007;bajo grande;PID1008;((-71.6170864497195, 10.514825),)
3011;balao offshore terminal;PID1009;((-79.71667, 0.99167),)
3015;MIDIA;PID1010;((28.658314525389372, 44.33846),)
3018;balder offshore terminal;PID1011;((2.387415, 59.191604999999996),)
3021;haramachi power station;PID1012;((141.0274235453887, 37.66879),)
3025;BALIKPAPAN;PID1013;((116.78520125, -1.2291949999999998),)
3026;NEMRUT LIMANI BAY;PID1014;((26.918187734926892, 38.774829999999994),)
3027;HARSTAD;PID1015;((16.609112911622717, 68.790155),)
3028;SKELLEFTEHAMN;PID1016;((21.271544408622745, 64.67121499999999),)
3029;balongan;PID1017;((108.43240948520938, -6.30203),)
3030;nepoui;PID1018;((164.98487975602592, -21.333525),)
3031;PORT METHANIER;PID1019;((6.940185632911391, 36.88489),)
3032;BALTIMORE;PID1020;((-76.52112625518058, 39.220185),)
3034;SLAGENSTANGEN;PID1021;((10.517292304397426, 59.319575),)
3039;BANDAR ABBAS;PID1022;((56.107377719345806, 27.099780000000003),)
3040;havana;PID1023;((-82.36966800718328, 23.148885),)
3041;bushehr;PID1024;((50.876121955531744, 28.97226),)
3042;HAY POINT;PID1025;((149.35121836747567, -21.23282),)
3044;BANDAR KHOMEYNI;PID1026;((49.08087383608196, 30.43017),)
3046;HAZIRA;PID1027;((72.59684585701538, 21.08874),)
3047;new haven;PID1028;((-72.9216288880597, 41.280395),)
3049;NEW LONDON;PID1029;((-72.0901825, 41.360960000000006),)
3050;BANDAR TAHERI OFFSHORE TERMINAL;PID1030;((52.34126257928232, 27.661475000000003),)
3051;NEW MANGALORE;PID1031;((74.82923311984689, 12.955020000000001),)
3052;heidrun offshore terminal;PID1032;((7.350967585802779, 65.332205),)
3054;bandirma;PID1033;((27.95775193800564, 40.36143),)
3057;PORT OF SOHAR;PID1034;((56.635158055290326, 24.500700000000002),)
3060;baniyas;PID1035;((35.923319678151714, 35.237854999999996),)
3061;helguvik;PID1036;((-22.562022530603844, 64.02346),)
3063;banjarmasin;PID1037;((114.56956331444303, -3.590795),)
3064;EDGEWATER;PID1038;((-74.04055594794575, 40.705945),)
3065;helsingborg;PID1039;((12.692466881139488, 56.025205),)
3066;banjul;PID1040;((-16.574810909776545, 13.44084),)
3067;ngqura;PID1041;((25.685590363260516, -33.79097),)
3073;bantry;PID1042;((-9.535916145669315, 51.69711),)
3074;songkhla;PID1043;((100.57108461898812, 7.253285),)
3077;BAOBAB MARINE TERMINAL;PID1044;((-4.5250375, 4.945975000000001),)
3081;bar;PID1045;((19.082441277974088, 42.097555),)
3084;SANTA CRUZ DE BARAHONA;PID1046;((-71.03002756165607, 18.23718),)
3086;heroya;PID1047;((9.628945324821025, 59.121395),)
3087;TG. SORONG;PID1048;((131.23605512576145, -0.861205),)
3088;BARBER'S POINT;PID1049;((-158.09033413755833, 21.300415),)
3089;NIKISKI;PID1050;((-151.38023040602366, 60.678075),)
3091;SIRUS OIL TERMINAL;PID1051;((49.461200101837065, 29.019095),)
3092;BARCELONA;PID1052;((2.1745729615255307, 41.326685),)
3094;ningde;PID1053;((119.69342136635535, 26.719635),)
3095;BARI;PID1054;((16.859498916925467, 41.13232),)
3097;barranquilla;PID1055;((-74.75268920884189, 10.94802),)
3099;RESERVE;PID1056;((-90.8463380086094, 30.02537),)
3101;SOUTHPORT;PID1057;((-78.00853502470085, 33.912949999999995),)
3103;south pulau laut;PID1058;((116.01176133480448, -4.02729),)
3105;N'KOSSA TERMINAL;PID1059;((11.607655000000001, -5.24925),)
3107;AL-BASRA OIL TERMINAL;PID1060;((48.82750005392843, 29.6662),)
3109;southwold transhipment area;PID1061;((2.134457592578583, 52.3412),)
3111;basseterre;PID1062;((-62.7197926354131, 17.275455),)
3112;norne offshore terminal;PID1063;((8.08836, 66.02729500000001),)
3113;SOYO ANGOLA LNG TERMINAL;PID1064;((12.342629532826773, -6.1048849999999995),)
3115;norrkoping;PID1065;((16.24357925491266, 58.619595),)
3118;stade;PID1066;((9.500124788135594, 53.64431),)
3119;bataan;PID1067;((120.6109842962398, 14.458455),)
3120;NORTH PULAU LAUT COAL TERMINAL;PID1068;((116.28446977661596, -3.21307),)
3122;batam kota;PID1069;((103.91789000302475, 1.051935),)
3125;stag offshore;PID1070;((116.25, -20.253335),)
3126;statfjord offshore terminal;PID1071;((1.889097003990214, 61.26288),)
3127;BATON ROUGE;PID1072;((-91.18787299376984, 30.471655),)
3128;HONG KONG;PID1073;((114.11976109159025, 22.354190000000003),)
3132;NOUAKCHOTT;PID1074;((-16.03128134356399, 18.014364999999998),)
3133;honiara;PID1075;((159.9601328428581, -9.42772),)
3135;BATUMI;PID1076;((41.654607684826, 41.665935000000005),)
3137;baubau;PID1077;((122.57748045819936, -5.466915),)
3138;stenungsund;PID1078;((11.792856037728168, 58.074555000000004),)
3139;novorossiysk;PID1079;((37.82832225460123, 44.6913),)
3140;HONOLULU;PID1080;((-157.95689320725785, 21.32422),)
3145;MADRE DE DEUS;PID1081;((-38.64261967781528, -12.816955),)
3146;HYDER;PID1082;((-130.00012658113093, 55.90287),)
3147;hoping power station;PID1083;((121.75864252182285, 24.30372),)
3148;nusantara terminal;PID1084;((106.79986500261917, -5.97372),)
3150;nuuk;PID1085;((-51.72659223270441, 64.15758),)
3157;hosan;PID1086;((129.35096796188895, 37.18121),)
3158;nyhamna;PID1087;((6.943310799999999, 62.848839999999996),)
3159;PORT DE BECANCOUR;PID1088;((-72.36793399359885, 46.390545),)
3160;st. john's;PID1089;((-61.86499804812616, 17.12946),)
3161;BAYTOWN;PID1090;((-95.13121109316674, 29.72229),)
3162;nynashamn;PID1091;((17.969714275510206, 58.924710000000005),)
3163;bedi bunder;PID1092;((70.06240044293828, 22.599035),)
3165;hsinta;PID1093;((120.18197938696446, 22.852694999999997),)
3167;BEIHAI;PID1094;((109.04456975826598, 21.46509),)
3172;stockholm;PID1095;((18.13865134273938, 59.342455),)
3173;huaheng power station;PID1096;((116.65984046843177, 23.180799999999998),)
3174;beira;PID1097;((34.834500584926026, -19.817735),)
3176;hualien;PID1098;((121.62319942540323, 23.973959999999998),)
3177;beirut;PID1099;((35.5407287433452, 33.939905),)
3178;ODUDU TERMINAL;PID1100;((7.781325000000001, 3.9533),)
3179;BEJAIA;PID1101;((5.095715234344738, 36.74454),)
3180;STUDSTRUP;PID1102;((10.348257085062237, 56.249695),)
3184;STURA;PID1103;((4.856877447643981, 60.617819999999995),)
3186;belawan;PID1104;((98.70097065860236, 3.78974),)
3188;belem;PID1105;((-48.49058755801688, -1.3276400000000002),)
3189;HUELVA;PID1106;((-6.936728819487438, 37.197585000000004),)
3190;SU-AO;PID1107;((121.89423806142668, 24.59186),)
3192;huilai power station;PID1108;((116.54904138952163, 22.99731),)
3193;PORTO DE SUAPE;PID1109;((-34.94674647878469, -8.378425),)
3195;SUBIC BAY;PID1110;((120.2557269849537, 14.807555),)
3196;OKHA;PID1111;((69.08910264340176, 22.48731),)
3199;okha offshore;PID1112;((116.446665, -19.58889),)
3200;PORT DALRYMPLE;PID1113;((146.84825025587566, -41.1632),)
